"552829622128500736	",Map locating the Paris offices of satirical magazine Charlie Hebdo #AFP http://t.co/nJYCABZqAG,"001744	",0,"['m.0289n8t', 'm.06nbt', 'm.06z90w', 'm.03hgt', 'm.02dlk9', 'm.058sv', 'm.05qtj']"
"553492305521672192	","The irony, it hurts. Apple, who repeatedly censored #CharlieHebdo on its platforms, is now claiming ""to be Charlie"" http://t.co/b1duzbndzQ","001321	",0,"['m.01v0sxx', 'm.0289n8t', 'm.09v2j1p', 'm.01n0b', 'm.01yrx', 'm.06z90w', 'm.09jcvs', 'm.03hgt', 'm.0k8z']"
"552983003308515328	",Incredibly sad pic of #CharlieHebdo cartoonist Wolinski's desk posted by his daughter. "Papa est parti pas Wolinski." http://t.co/AyXPd76BPG,"002505	",0,"['m.0289n8t', 'm.03c27p5', 'm.06z90w', 'm.0bt_c3', 'm.0196pc', 'm.03hgt']"
"553186515359379457	",A quick infographic explaining some of the immediate anti-Muslim backlash in France: http://t.co/Wuh9TW9IxA #CharlieHebdo,"003503	",0,"['m.0289n8t', 'm.0f8l9c', 'm.06z90w', 'm.015jb0', 'm.03hgt', 'm.03xc_j']"
"552839800433410049	","Dear #ISIS, If you can't handle being lampooned then you are not ready to be politically relevant. #CharlieHebdo http://t.co/zLmUQr0uh1","002547	",0,"['m.06z90w', 'm.0289n8t', 'm.03hgt']"
"552851847581413377	",This #cartoon sums up the absurdity of the killings. #CharlieHebdo #ParisShooting #parisattack http://t.co/xBus9qWLpa,"001721	",0,"['m.06z90w', 'm.0215n', 'm.0289n8t', 'm.03hgt']"
"553200573387124736	",Jon Stewart on #CharlieHebdo: "Comedy shouldn閳ユ獩 be an 閳ユ揷t of courage': http://t.co/wWWJfKLwct http://t.co/8Lkv7kGsFb,"000535	",0,"['m.0289n8t', 'm.01j7rd', 'm.01z4y', 'None', 'm.06z90w', 'm.01g317', 'm.03hgt']"
"553148844574511104	",Amidst 100s gathered as close to #CharlieHebdo office as we can get閳?France observes silence閳?Notre Dame bells ring http://t.co/RbTC6Si5Hy,"002213	",0,"['m.0289n8t', 'm.0hnnb', 'm.0dwtp', 'm.0gtxh', 'm.06z90w', 'm.01940j', 'm.01g317', 'm.080hkjn', 'm.03hgt', 'm.01l3vx']"
"552831705351225344	",#JeSuisCharlie trends after brutal shooting at #CharlieHebdo magazine http://t.co/2tT7BnOx1u http://t.co/oMTsEqXs1h,"000676	",0,"['m.06z90w', 'm.0289n8t', 'm.03hgt']"
"553175714128990208	",8 journalists 2 officers 1 janitor 1 visitor  Victims killed in #CharlieHebdo attack: http://t.co/xZJo8kPPRA (Getty) http://t.co/sX1MMjd0Tc,"002049	",0,"['m.0289n8t', 'm.0d8qb', 'm.06z90w', 'm.01g317', 'm.0bwk4lh', 'm.01x_cf', 'm.03hgt', 'm.0d0vp3', 'm.050k8']"
"552794995942772736	",'...but I will to the death defend your right to say it'.  #charliehebdo #voltaire http://t.co/oFEHT8Xx3v,"001423	",0,"['m.0289n8t', 'm.06z90w', 'm.07ym0', 'm.03hgt']"
"553542208214036480	",Charlie Hebdo: this map pinpoints the four key locations in the dual sieges 閳?live updates http://t.co/CbQCu50ckl http://t.co/6Cpy1BmKQO,"002000	",0,"['m.0289n8t', 'm.03hgt']"
"553177099843149824	",#IDF Chief references the attack at #CharlieHebdo while speaking to @NDU_EDU group in the #US http://t.co/x0Z4UoixiZ http://t.co/tpdRuer1g6,"001289	",0,"['m.08jjsk', 'm.0289n8t', 'm.0248r3', 'm.06z90w', 'm.01g317', 'm.03hgt', 'm.02lg0r', 'm.09s93']"
